name,rating,title,review,date
Rakesh Bidlan,2.0,Could be way better,Big size,6 months ago
Mohd avednadw,5.0,Mind-blowing purchase,This is so good in this price range 😍,5 months ago
Flipkart Customer,4.0,Nice product,The order is good.😊 The problem is I have order black Chelsea,2 months ago
Flipkart Customer,4.0,Worth the money,Awesome with awesome price,2 months ago
Kareem Khan,5.0,Brilliant,Good quality,4 months ago
Mubarak Ali,5.0,Just wow!,Gud quality,1 month ago
Prithwib Chakraborty,5.0,Must buy!,"Excellent... 
Comfortable product 👍",2 months ago
Ayush Thakur,1.0,Absolute rubbish!,Worst totally money waste,5 days ago
Flipkart Customer,5.0,Great product,Superb,18 days ago
Bablu Yadav,3.0,Just okay,BECAUSE THIS SHOOE IS NOT PERFECT SIZE AND VERY TIGHT,20 days ago
Flipkart Customer,1.0,Absolute rubbish!,Low quality don't buy this product,26 days ago
Sohail Ali,1.0,Utterly Disappointed,Very very bad product i suggest don't bye this shoes,29 days ago
Vyshnavi N v,5.0,Simply awesome,Oh my god i didn't this to be this much good I just really loved it just the same in the image,1 month ago
Muhammed hisham Shihab,4.0,Nice product,Satisfying,1 month ago
Flipkart Customer,1.0,Useless product,Bad product 😡😡 waste of money,2 months ago
Flipkart Customer,5.0,Classy product,Very very good prodect,4 months ago
Suraj Tripathi,3.0,Fair,Product was good fitting and quality good,4 months ago
Flipkart Customer,5.0,Classy product,Very nice product. At this price point this is super awesome and aesthetic.,4 months ago
