name,rating,title,review,date
Flipkart Customer,5.0,Must buy!,This shoes is very best and this colour is very best,"Jan, 2022"
Riya Roy,5.0,Just wow!,Very nice product and quality,"Feb, 2022"
Flipkart Customer,5.0,Classy product,Very good product,"Jan, 2022"
Navaj Ali,5.0,Simply awesome,Very good flipcart,"Jan, 2022"
Akhilesh Kumar dinkar,2.0,Bad quality,Don't like product ritan request please sir,"Mar, 2021"
Swappy Hire,5.0,Brilliant,Great,"Feb, 2022"
Vaibhav Kashid,5.0,Just wow!,Nice products,"Dec, 2020"
Anurag kumar,4.0,Pretty good,"Perfect as I want 
COMFORTABLE AND LIGHT 
DESIGN IS OK OK
BUT ONLY REASON TO HIVE FOUR STAR IS PACKAGING WAS SO DULL 


NOT TO FEAR JUST GO FOR IT","Feb, 2022"
Rajesh Kumar,4.0,Really Nice,Good shoes,"Feb, 2022"
Rakesh Morya,3.0,Decent product,Very comfortable,"Feb, 2022"
Prabhat Kumar,5.0,Terrific,Very good,"Feb, 2022"
Flipkart Customer,5.0,Excellent,Good quality,"Feb, 2022"
Sachin kumar Sachin kumar,5.0,Classy product,Super product,"Feb, 2022"
Flipkart Customer,5.0,Awesome,Very nice 👍 awesome,"Feb, 2022"
Jasima Jasima,5.0,Awesome,Super product i love flipkart,2 months ago
Flipkart Customer,2.0,Not good,Not a god,"Feb, 2022"
Suvam Mitra,3.0,Good,It's good,"Feb, 2022"
Waseem A,3.0,Decent product,Very nice,"Jan, 2022"
Chandan Bhandari,5.0,Awesome,"Nice shoes
You can buy this shoes","Dec, 2021"
Ahamad Hossen,5.0,Great product,Osam shos,"Jun, 2022"
Rakshi D,4.0,Pretty good,This Product Good And Comfortable,1 month ago
Shivam kumar,1.0,Not recommended at all,Very bad shoes not comfortable,2 months ago
Prabhu Gulla,5.0,Worth every penny,Nice product,2 months ago
Flipkart Customer,4.0,Really Nice,Super,2 months ago
santoshkumar patra,5.0,Just wow!,I like,2 months ago
Flipkart Customer,1.0,Worst experience ever!,Damage product,3 months ago
Preet Preet,5.0,Highly recommended,This shoes is camfertebal and looking good,3 months ago
Sachingowda Gowda,2.0,Could be way better,Size not comfortable,5 months ago
Ueiie Ueue,5.0,Worth every penny,Outstanding product on that so much cheap price I can't believe it's very good product,6 months ago
Flipkart Customer,1.0,Did not meet expectations,Waste products 😡,6 months ago
SK SULTANUDDIN,4.0,Really Nice,Good ok,8 months ago
Flipkart Customer,4.0,Nice product,Nice 👍,"Apr, 2023"
Rahul Kumar Sada,3.0,Good,Nice shoes but inner quality is not good and sole is very normal but over price the product overall fantastic and worth,"Jan, 2023"
Flipkart Customer,4.0,Wonderful,God pirodact,"Dec, 2022"
Flipkart Customer,5.0,Great product,Super shoes,"Nov, 2022"
Kamal Singh,5.0,Wonderful,Very nice product thanks Filpcart,"Nov, 2022"
Vimal Kumar,1.0,Very poor,Bad products,"Oct, 2022"
Babul Kumar,1.0,Waste of money!,Very very Bed Products,"Oct, 2022"
Apurba Kar,5.0,Excellent,This product is so comfortable,"Sep, 2022"
John Dee,1.0,Worthless,Very poor quality,"Sep, 2022"
Flipkart Customer,1.0,Absolute rubbish!,Very bad product,"Sep, 2022"
Flipkart Customer,5.0,Great product,Super 😎😎😎,"Sep, 2022"
Umi Umesh,3.0,Fair,It's good product,"Aug, 2022"
AMAN THAKUR,5.0,Must buy!,Superb 😍😍,"Jul, 2022"
hd macharla,1.0,Not recommended at all,Very bad quality weste don't purchase any one,"Jul, 2022"
Nitesh Kumar Sao,2.0,Moderate,Not bad,"Jul, 2022"
ARMAN Sakla,1.0,Very poor,Not good in looking,"Jun, 2022"
Flipkart Customer,1.0,Worst experience ever!,Very worst product.wastage of money😂,"Jun, 2022"
KishoreKumar D,4.0,Very Good,Nice good,"Jun, 2022"
Krishna kamal bais,4.0,Pretty good,"Good  comfortable 
Nice  product
Daily use product","Jun, 2022"
Shweta Kumawat,5.0,Brilliant,Good product 👍,"Jun, 2022"
Shweta Kumawat,5.0,Terrific purchase,Best product,"Jun, 2022"
Vikash Singh,5.0,Fabulous!,Nice 💕,"Jun, 2022"
Kalu Pal,5.0,Simply awesome,Good product,"Jun, 2022"
Imran Immu,5.0,Terrific purchase,Superb for daily use,"Jun, 2022"
Tara Bi,2.0,Expected a better product,This shoes was bad quality,"Jun, 2022"
Flipkart Customer,2.0,Flipkart Customer,Bad quality this products,"May, 2022"
Ashok Dubay,1.0,Horrible,Cheap looking,"May, 2022"
Flipkart Customer,1.0,Waste of money!,So bad,"May, 2022"
Kishan Bhstra,3.0,Kishan Bhstra,Nice for tha sush good,"May, 2022"
Deepak Kumar,3.0,Does the job,Good product but not very much,"May, 2022"
chikun Kumar,4.0,Value-for-money,Product is a very good,"May, 2022"
Ashwin Dhote,5.0,Best in the market!,Nice 👌,"May, 2022"
Ajeet kumar,5.0,Fabulous!,Funtastic,"May, 2022"
Vijay Verma,1.0,Useless product,Bad product,"May, 2022"
john silvester,1.0,Waste of money!,very bad products,"Apr, 2022"
Manisha Sen,5.0,Best in the market!,Nice 👌👍,"Apr, 2022"
siva kumar,1.0,Waste of money!,Very worst,"Apr, 2022"
Flipkart Customer,1.0,Hated it!,Not good this products was very poor,"Apr, 2022"
Flipkart Customer,5.0,Classy product,lowest price bt its good,"Apr, 2022"
Saurabh Tiwari,5.0,Perfect product!,Nice 👍👍,"Apr, 2022"
Flipkart Customer,1.0,Worthless,Very bad👎👎👎👎👎,"Mar, 2022"
Flipkart Customer,5.0,Great product,Wonderful 😊,"Mar, 2022"
Mann Jais,4.0,Very Good,At my price point the product is good.,"Mar, 2022"
Flipkart Customer,5.0,Simply awesome,Very good product and light waight shoes,"Mar, 2022"
