name,rating,title,review,date
Sudeshna Pal,4.0,Pretty good,Battery backup is impressive,"Apr, 2023"
slokh shome,4.0,Very Good,Go for it ❣️,"Jul, 2022"
Flipkart Customer,4.0,Value-for-money,"1. Music control are not very good .
2. The battery consumption is slightly higher than others. 
3. Design is fabulous.
4. UI is decent.
5. All features like Heart rate , Spo2 are good and give almost...","May, 2022"
Flipkart Customer,4.0,Pretty good,Loved it,"Oct, 2022"
Akash Nandakumar,4.0,Worth the money,Nice product.,"May, 2022"
Shivam ramchandra Akhadkar,4.0,Good quality product,Nice one,"Aug, 2022"
Dipayan Nath,5.0,Terrific purchase,"Nice Product... Looks Impressive.... 👌
It doesn't have amoled skin, though it looks nothing less than amoled 👌👍
Best for skinny people... 👌","May, 2022"
Flipkart Customer,5.0,Mind-blowing purchase,"Very nice smart watch round dial make it more beautiful.
Display is good
Health data is almost accurate
Battery back , you guys don’t believe after using 5 days i used battery saving mode and its give...","May, 2022"
Anu George,5.0,Classy product,Good display. Long lasting battery,"May, 2022"
Parthiban T,5.0,Terrific,Indeed a 🔥 Fire 🔥 smartwatch with stunning look at this price range. 1st impression was exllent. on time delivery to Filpkart....,"May, 2022"
Ujjwal Garg,5.0,Brilliant,"This product is very attractive😍 and amazing
I am happy☺","Mar, 2023"
sona sen,5.0,Terrific purchase,Nice watch 😍😍,"Sep, 2022"
Flipkart Customer,5.0,Perfect product!,It's just Wow😲,"Mar, 2023"
Shubham Ghosh,5.0,Worth every penny,Great product,"Jun, 2022"
H A R I,5.0,Perfect product!,"Best in the market❤️
Just go for it","Jul, 2022"
Ashok Soni,5.0,Great product,"I really like this product 💯. You must buy this watch.
 don't hesitate before buying this one really awesome .it looks amazing 😍🤩🤩🤩🤩🤩","Jun, 2023"
Jagruti Jadhav,5.0,Jagruti Jadhav,Wonderful watch with low cost and wonderful features lovely like it alot,"Dec, 2022"
Sanchita Manna Pal,5.0,Highly recommended,Worth of penny because you must find that you have got what you have paid.,"May, 2022"
tarun satasiya,5.0,Must buy!,Value for money,"May, 2022"
Shantanu Paul,5.0,Best in the market!,Nice display smooth and better 😊,"May, 2022"
Flipkart Customer,4.0,Wonderful,Good watch,"Sep, 2022"
Flipkart Customer,5.0,Best in the market!,Amazing 🤩 watch ⌚ really I love it.,"Aug, 2022"
Anchal Singh,5.0,Wonderful,Very good 👍😁,"Sep, 2022"
Ipsita Das,5.0,Excellent,"Very good quality, worth it❤","May, 2022"
Danish Dungdung,5.0,Worth every penny,Design and colour is good and features is also good.... Go for it..,"Aug, 2022"
Manish Kumar,5.0,Excellent,Good product,"Jan, 2023"
Jaydip Sakhiya,5.0,Just wow!,"Very nice product....
I attracted with its beauty ...look wise its look premium
I liked it a lot","May, 2022"
Mohamed shahithullah,4.0,Really Nice,"Value for Money

Design is fabulous.

Ul is decent.

All features like Heart rate , Spo2 are good and give almost exact readings. 6. Display is also very good.

Build quality is great.

Watch faces in...","Aug, 2022"
KEERTHANA S,5.0,Highly recommended,"Mind -blowing purchase
Very nice smart watch round dial make it more beautiful.
Display is good
Health data is almost accurate
I  attracted  with this beauty look wise it's look premium l liked it a lot","Oct, 2022"
Aditya Singh,5.0,Wonderful,"A nice product with many features but please increase the watch faces, they are very limited and old.","May, 2022"
Flipkart Customer,5.0,Worth every penny,Wonderful watch and wonderful features lovely like it alot.. thanks you Flipkart,"Apr, 2023"
Gargi Singh,5.0,Terrific purchase,Superb,"Aug, 2022"
Mihir Mishra,4.0,Worth the money,"Overall Display and design is really Awesome. Looks like premium in hand. 
Although Activity tracker Accuracy is not good, it track heart rate of bottle, table for which I give it 3.5/5. 
Steps count ...","Sep, 2022"
